SMPDB_ID	HMDB_ID
PW_C001193	HMDB0001551
PW_C002313	HMDB0004950
PW_C002905	HMDB0006752
PW_C000188	HMDB0000277
PW_C000172	HMDB0000252
PW_C006707	HMDB0010699
PW_C003990	HMDB0007940
PW_C001040	HMDB0001348
PW_C002928	HMDB0006790
PW_C006716	HMDB0010708
PW_C000091	HMDB0000140
PW_C002240	HMDB0004866
PW_C000017	HMDB0000024
PW_C002212	HMDB0004836
PW_C040684	HMDB0061363
PW_C001459	HMDB0002170
PW_C002942	HMDB0006807
PW_C001558	HMDB0002307
PW_C000552	HMDB0000700
PW_C002941	HMDB0006806
PW_C000004	HMDB0000008
PW_C002021	HMDB0003971
PW_C000177	HMDB0000258
PW_C001910	HMDB0003514
PW_C001872	HMDB0003403
PW_C000605	HMDB0000757
PW_C002975	HMDB0006857
PW_C000107	HMDB0000163
PW_C001405	HMDB0002091
PW_C001086	HMDB0001406
PW_C000551	HMDB0000699
PW_C002086	HMDB0004193
PW_C000681	HMDB0000855
PW_C000154	HMDB0000229
PW_C000885	HMDB0001132
PW_C000156	HMDB0000232
PW_C002943	HMDB0006809
PW_C001145	HMDB0001488
PW_C002087	HMDB0004194
PW_C007824	HMDB0012285
PW_C001381	HMDB0002057
PW_C007198	HMDB0011604
PW_C000658	HMDB0000824
PW_C000129	HMDB0000201
PW_C002659	HMDB0006202
PW_C002677	HMDB0006230
PW_C002676	HMDB0006229
PW_C002678	HMDB0006234
PW_C001435	HMDB0002134
PW_C002747	HMDB0006454
PW_C001043	HMDB0001352
PW_C000144	HMDB0000218
PW_C000894	HMDB0001149
PW_C000810	HMDB0001024
PW_C000186	HMDB0000272
PW_C001875	HMDB0003406
PW_C000166	HMDB0000245
PW_C000887	HMDB0001137
PW_C000854	HMDB0001086
PW_C000732	HMDB0000916
PW_C001496	HMDB0002211
PW_C001451	HMDB0002158
PW_C000502	HMDB0000643
PW_C000747	HMDB0000936
PW_C000974	HMDB0001261
PW_C000445	HMDB0000570
PW_C000863	HMDB0001097
PW_C000163	HMDB0000241
PW_C000900	HMDB0001162
PW_C003003	HMDB0006901
PW_C000797	HMDB0001008
PW_C001050	HMDB0001361
PW_C000038	HMDB0000054
PW_C001838	HMDB0003325
PW_C002078	HMDB0004158
PW_C002929	HMDB0006791
PW_C002930	HMDB0006792
PW_C002585	HMDB0005826
PW_C001923	HMDB0003553
PW_C001805	HMDB0003213
PW_C000033	HMDB0000048
PW_C002082	HMDB0004162
PW_C000069	HMDB0000107
PW_C001852	HMDB0003349
PW_C000151	HMDB0000226
PW_C000790	HMDB0000998
PW_C001189	HMDB0001546
PW_C000061	HMDB0000089
PW_C000202	HMDB0000296
PW_C000962	HMDB0001245
PW_C000937	HMDB0001202
PW_C000008	HMDB0000014
PW_C000007	HMDB0000012
PW_C001087	HMDB0001409
PW_C000950	HMDB0001227
PW_C000987	HMDB0001274
PW_C001035	HMDB0001342
PW_C000187	HMDB0000273
PW_C000179	HMDB0000262
PW_C000056	HMDB0000079
PW_C001363	HMDB0002031
PW_C000927	HMDB0001191
PW_C000792	HMDB0001000
PW_C001993	HMDB0003911
PW_C001589	HMDB0002356
PW_C002751	HMDB0006459
PW_C001340	HMDB0002003
PW_C002794	HMDB0006526
PW_C000497	HMDB0000638
PW_C000741	HMDB0000929
PW_C000935	HMDB0001200
PW_C002057	HMDB0004089
PW_C000538	HMDB0000684
PW_C000877	HMDB0001123
PW_C000778	HMDB0000978
PW_C000566	HMDB0000715
PW_C007219	HMDB0011631
PW_C001137	HMDB0001476
PW_C002050	HMDB0004078
PW_C002053	HMDB0004083
PW_C000703	HMDB0000881
